sample; metric; threshold; postid; posthistoryid; runtimetext; #truepositivestext; #truenegativestext; #falsepositivestext; #falsenegativestext; #runtimecode; #truepositivescode; #truenegativescode; #falsepositivescode; #falsenegativescode; 
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7873162; 29; 1; 1; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7873319; 29; 1; 0; 0; 1; 89; 1; 0; 0; 1
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7873489; 29; 2; 0; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7873581; 29; 2; 0; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7874248; 29; 2; 0; 0; 0; 89; 1; 0; 0; 1
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7874570; 29; 2; 0; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7874704; 29; 2; 0; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 7875126; 29; 2; 0; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 15577610; 29; 2; 0; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 3758880; 24534909; 29; 2; 1; 0; 0; 89; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 22037280; 58996741; 83; 3; 0; 0; 0; 7; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 22037280; 58997388; 83; 2; 0; 0; 1; 7; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 22037280; 59004094; 83; 3; 0; 0; 0; 7; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 22037280; 59078493; 83; 3; 0; 0; 0; 7; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 22037280; 60329723; 83; 3; 0; 0; 0; 7; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingThreeGramOptimalAlignmentNormalized; 0.3; 22037280; 69262919; 83; 3; 0; 0; 0; 7; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingNormalized2GramOverlap; 0.3; 3758880; 7873162; 21; 1; 1; 0; 0; 13; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingNormalized2GramOverlap; 0.3; 3758880; 7873319; 21; 2; 0; 0; 0; 13; 2; 0; 0; 0
testdata\fewCompletedFiles; winnowingNormalized2GramOverlap; 0.3; 3758880; 7873489; 21; 2; 0; 0; 0; 13; 2; 0; 0; 0
