PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"32143330";"97933426";"1";"1";"null";"1";"";
"32143330";"97933639";"1";"1";"1";"1";"";
"32143330";"97934078";"1";"1";"1";"1";"";
"32143330";"98648706";"1";"1";"1";"null";"";
"32143330";"97933426";"2";"2";"null";"2";"";
"32143330";"97933639";"2";"2";"2";"2";"";
"32143330";"97934078";"2";"2";"2";"2";"";
"32143330";"98648706";"2";"2";"2";"null";"";
"32143330";"97933639";"1";"3";"null";"3";"";
"32143330";"97934078";"1";"3";"3";"3";"";
"32143330";"98648706";"1";"3";"3";"null";"";
"32143330";"98648706";"2";"4";"null";"null";"";
"32143330";"98648706";"2";"5";"null";"null";"";
